PLAYER,TEAM,RATING,CAREER BEST RATING
Suryakumar Yadav,IND,906,"910 v New Zealand, 27/01/2023"
,,,
,,,
Mohammad Rizwan,PAK,836,"875 v England, 28/09/2022"
,,,
,,,
Babar Azam,PAK,778,"896 v England, 05/05/2019"
,,,
,,,
Devon Conway,NZ,768,x
,,,
,,,
Aiden Markram,SA,748,"796 v England, 06/11/2021"
,,,
,,,
Muhammad Waseem,UAE,716,"716 v Afghanistan, 19/02/2023"
,,,
,,,
Dawid Malan,ENG,705,"915 v South Africa, 01/12/2020"
,,,
,,,
Rilee Rossouw,SA,693,"693 v Netherlands, 06/11/2022"
,,,
,,,
Aaron Finch,AUS,680,"900 v Zimbabwe, 03/07/2018"
,,,
,,,
Jos Buttler,ENG,670,"674 v New Zealand, 10/11/2021"
,,,
,,,
Glenn Phillips,NZ,662,"703 v England, 01/11/2022"
,,,
,,,
Pathum Nissanka,SL,643,"698 v Pakistan, 09/09/2022"
,,,
,,,
Alex Hales,ENG,636,"866 v India, 07/09/2014"
,,,
,,,
Quinton de Kock,SA,614,"671 v Sri Lanka, 14/09/2021"
,,,
,,,
Virat Kohli,IND,612,"897 v England, 07/09/2014"
,,,
,,,
Nazmul Shanto,BAN,593,"593 v England, 14/03/2023"
,,,
,,,
Brandon King,WI,583,"585 v New Zealand, 14/08/2022"
,,,
,,,
Nicholas Pooran,WI,582,"667 v Bangladesh, 07/07/2022"
,,,
,,,
Rahmanullah Gurbaz,AFG,581,"620 v Zimbabwe, 17/03/2021"
,,,
,,,
Reeza Hendricks,SA,579,"647 v Sri Lanka, 24/03/2019"
,,,
,,,
George Munsey,SCO,572,"600 v Netherlands, 19/09/2019"
,,,
,,,
Litton Das,BAN,566,"566 v England, 14/03/2023"
,,,
,,,
Rassie van der Dussen,SA,565,"780 v West Indies, 26/06/2021"
,,,
,,,
Finn Allen,NZ,563,"606 v Ireland, 04/11/2022"
,,,
,,,
Richard Berrington,SCO,558,"587 v Oman, 21/10/2021"
,,,
,,,
Daryl Mitchell,NZ,552,"554 v India, 27/01/2023"
,,,
,,,
Mitchell Marsh,AUS,552,"623 v New Zealand, 14/11/2021"
,,,
,,,
Lokesh Rahul,IND,548,"854 v England, 03/07/2018"
,,,
,,,
Martin Guptill,NZ,547,"793 v South Africa, 19/02/2012"
,,,
,,,
Rohit Sharma,IND,545,"718 v West Indies, 06/11/2018"
,,,
,,,
Shubman Gill,IND,542,"542 v New Zealand, 01/02/2023"
,,,
,,,
David Miller,SA,542,"587 v Sri Lanka, 19/03/2019"
,,,
,,,
Paul Stirling,IRE,541,"599 v UAE, 07/10/2021"
,,,
,,,
Kariyawasa Asalanka,SL,539,"594 v Australia, 11/06/2022"
,,,
,,,
Hazratullah,AFG,537,"736 v West Indies, 16/11/2019"
,,,
,,,
Kusal Mendis,SL,530,"530 v India, 07/01/2023"
,,,
,,,
Glenn Maxwell,AUS,527,"836 v Sri Lanka, 27/10/2019"
,,,
,,,
Najibullah Zadran,AFG,521,"556 v Ireland, 14/01/2017"
,,,
,,,
David Warner,AUS,521,"826 v West Indies, 11/05/2010"
,,,
,,,
Marcus Stoinis,AUS,519,"519 v Afghanistan, 04/11/2022"
,,,
,,,
Tony Ura,PNG,519,"563 v Namibia, 20/10/2019"
,,,
,,,
Bhanuka Rajapaksa,SL,517,"543 v England, 05/11/2022"
,,,
,,,
Dasun Shanaka,SL,517,"517 v India, 07/01/2023"
,,,
,,,
Max O'Dowd,NED,517,"549 v Kenya, 18/10/2019"
,,,
,,,
Kane Williamson,NZ,513,"760 v Bangladesh, 03/01/2017"
,,,
,,,
Ibrahim Zadran,AFG,513,"513 v UAE, 19/02/2023"
,,,
,,,
Ishan Kishan,IND,498,"717 v Ireland, 26/06/2022"
,,,
,,,
Ben Duckett,ENG,498,"560 v Pakistan, 02/10/2022"
,,,
,,,
Moeen Ali,ENG,498,"525 v Australia, 12/10/2022"
,,,
,,,
Afif Hossain,BAN,486,"508 v New Zealand, 09/10/2022"
,,,
,,,
Hardik Pandya,IND,484,"484 v Sri Lanka, 03/01/2023"
,,,
,,,
Andrew Balbirnie,IRE,484,"523 v Hong Kong, 18/10/2019"
,,,
,,,
Kushal Bhurtel,NEP,478,"536 v Papua New Guinea, 28/03/2022"
,,,
,,,
Iftikhar Ahmed,PAK,478,"501 v South Africa, 03/11/2022"
,,,
,,,
Rovman Powell,WI,475,"495 v Bangladesh, 03/07/2022"
,,,
,,,
Heinrich Klaasen,SA,470,"494 v Ireland, 05/08/2022"
,,,
,,,
Shan Masood,PAK,469,"469 v England, 13/11/2022"
,,,
,,,
Vriitya Aravind,UAE,468,"468 v Afghanistan, 19/02/2023"
,,,
,,,
Jason Roy,ENG,468,"688 v Sri Lanka, 27/10/2018"
,,,
,,,
Dipendra Airee,NEP,466,"498 v Papua New Guinea, 04/04/2022"
,,,
,,,
Navneet Dhaliwal,CAN,460,"506 v Philippines, 18/02/2022"
,,,
,,,
Gerhard Erasmus,NAM,458,"499 v Ireland, 22/10/2021"
,,,
,,,
Mohammad Nabi,AFG,457,"569 v Bangladesh, 15/09/2019"
,,,
,,,
Shakib Al Hasan,BAN,457,"618 v Pakistan, 24/04/2015"
,,,
,,,
Matthew Wade,AUS,448,"476 v England, 09/10/2022"
,,,
,,,
Shreyas Iyer,IND,446,"622 v South Africa, 12/06/2022"
